Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
cae783ec-309b-4973-8791-fc949a12a5b3;06.04.2014 21:19;Running;;5.4;32:23:00;05:59;10.01;235;14;129;;#118forboston;2014-04-06-211955.gpx
6de12383-ae98-4392-a658-28207e93afa2;22.02.2016 09:12;Cycling;;115.53;11:31:10;05:59;10.03;4138;991;;;;2016-02-22-091237.gpx
93f9f60b-7a9e-4014-87c8-66719fb2148d;05.01.2016 17:23;Cycling;;2.36;14:05;05:59;10.03;85;19;;;;2016-01-05-172356.gpx
ed35f494-72c7-4bd9-9df8-0dded9c7301c;24.05.2014 01:05;Running;;5.47;32:41:00;05:59;10.04;353;54;130;;;2014-05-24-010539.gpx
b59f8e75-481e-47bb-8b94-af93ae53247c;16.08.2016 21:13;Running;;3.06;18:20;06:00;10;220;28;125;Käsh,;;2016-08-16-211335.gpx
8637442f-ca5d-43ec-8c5b-35adcd201df4;23.06.2013 00:17;Running;;4.99;30:04:00;06:01;9.96;314;48;117;;;2013-06-23-001746.gpx
0299147d-0fb6-4fe0-801a-411093d37fa1;21.02.2018 07:12;Running;;4.67;28:06:00;06:01;9.97;308;24;124;;;2018-02-21-071251.gpx
f5e69db2-2eab-40b8-8e9f-563c6a5320d5;02.09.2013 02:45;Running;;9.68;58:17:00;06:01;9.97;600;75;112;;;2013-09-02-024523.gpx
38ac398f-f329-4068-a5cd-e9a548846c58;18.08.2013 21:49;Running;;1.33;07:59;06:01;9.98;88;22;136;;;2013-08-18-214917.gpx
408a53df-0fb6-47e0-b24d-0cba838344c3;02.01.2012 04:52;Running;;6.11;36:54:00;06:02;9.94;436;18;156;;Fewer rests, no huffin n puffin. Good start.;2012-01-02-045216.gpx
f01f9137-3657-4c5c-b834-fa298b0a2e73;29.08.2016 20:40;Running;;5.72;34:30:00;06:02;9.95;408;40;112;;;2016-08-29-204011.gpx
138d1238-e250-4983-8bdc-de0aa68d3b11;12.08.2013 16:01;Running;;7.56;45:46:00;06:03;9.91;473;76;119;;;2013-08-12-160102.gpx
